Account No,Date,Transaction Details,Value Date,Withdrawal AMT,Deposit AMT,Balance AMT
409000611074,29 Jun 17,TRF FROM  Indiaforensic SERVICES,29 Jun 17,,1000000.00,1000000.00
409000611074,5 Jul 17,TRF FROM  Indiaforensic SERVICES,5 Jul 17,,1000000.00,2000000.00
409000611074,18 Jul 17,FDRL/INTERNAL FUND TRANSFE,18 Jul 17,,500000.00,2500000.00
409000611074,1 Aug 17,TRF FRM  Indiaforensic SERVICES,1 Aug 17,,3000000.00,5500000.00
409000611074,16 Aug 17,FDRL/INTERNAL FUND TRANSFE,16 Aug 17,,500000.00,6000000.00
409000611074,16 Aug 17,FDRL/INTERNAL FUND TRANSFE,16 Aug 17,,500000.00,6500000.00
409000611074,16 Aug 17,FDRL/INTERNAL FUND TRANSFE,16 Aug 17,,500000.00,7000000.00
409000611074,16 Aug 17,FDRL/INTERNAL FUND TRANSFE,16 Aug 17,,500000.00,7500000.00
409000611074,16 Aug 17,FDRL/INTERNAL FUND TRANSFE,16 Aug 17,,500000.00,8000000.00
409000611074,16 Aug 17,FDRL/INTERNAL FUND TRANSFE,16 Aug 17,,500000.00,8500000.00
